Avg Packet Size,Std. deviation of packet size,Total Bytes,AVG. IAT(ms),Std. daviation of IAT(ms),Flow duration(SECONDS),Push_flag_cnt,Avg_wind_size,Class
1497,43.4165866922,1497422,1.2,2.355144,1.197123,263,1443,multimedia
1499,3.6055512755,1499887,1.16,1.806755,1.162264,343,1713,multimedia
1499,21.8860686282,1499082,1.07,1.359235,1.06756,435,2173,multimedia
1499,26.2868788562,1499168,1.01,0.716641,1.010336,416,2590,multimedia
1497,43.0232495286,1497343,1.01,0.818255,1.013378,427,2994,multimedia
1495,63.0713881249,1495598,1.18,5.307479,1.17751,15,688,multimedia
1499,64.7765389628,1499955,1.47,4.879571,1.46583,8,925,multimedia
1498,45.7602447546,1498552,1.31,6.858506,1.303902,2,1320,multimedia
1498,45.7602447546,1498552,3.14,9.357512,3.134687,2,1320,multimedia
1492,92.714615892,1492341,1.35,6.379525,1.349509,264,1189,multimedia
1271,515.521095592,1271196,13.95,65.696436,13.934555,289,3694,multimedia
1495,76.9025357189,1495158,3.26,45.271873,3.257591,385,3815,multimedia
1439,215.89117629,1439569,1.9,8.850682,1.897009,216,30015,multimedia
1441,211.165811627,1441137,6.08,84.447977,6.070486,252,30015,multimedia
1371,293.409270474,1371873,2.19,17.960592,2.184532,390,30015,multimedia
1395,278.478006313,1395653,2.24,17.294851,2.234914,408,30015,multimedia
1495,72.876608044,1495558,1.39,11.82425,1.387492,4,30015,multimedia
1495,73.7902432575,1495376,1.37,10.364494,1.367851,4,30015,multimedia
1493,80.2620707433,1493997,1.03,1.00534,1.027527,10,30015,multimedia
1403,273.150141863,1403305,6.34,33.679481,6.335821,218,30015,multimedia
1412,237.004219372,1412065,6.9,42.227913,6.888412,246,30015,multimedia
1399,247.37623168,1399209,6.71,34.283239,6.708007,229,30015,multimedia
1394,274.472220817,1394543,6.56,34.720606,6.552577,238,30015,multimedia
1377,281.827961707,1377972,2.36,10.332324,2.3596,280,30015,multimedia
1390,269.862928169,1390828,5.29,103.093592,5.289134,244,30015,multimedia
1415,262.705157924,1415935,6.15,37.666621,6.146826,173,30015,multimedia
1388,243.092574959,1388488,2.99,25.092675,2.990609,279,30015,multimedia
1370,308.074666274,1370678,6.19,93.121165,6.184366,278,30015,multimedia
1385,254.795996829,1385274,2.3,11.858571,2.299174,285,30015,multimedia
1434,197.982322443,1434040,4.32,25.546954,4.312421,170,30015,multimedia
1381,307.95941291,1381290,7.01,77.605009,7.000909,253,30015,multimedia
1377,264.622372448,1377448,2.35,13.048926,2.351516,320,30015,multimedia
1404,258.974902259,1404252,2.39,11.993028,2.387223,240,30015,multimedia
1416,238.432380351,1416887,5.41,32.964591,5.401749,211,30015,multimedia
1394,225.612499654,1394032,2.11,10.871731,2.105444,275,30015,multimedia
1410,252.013888506,1410420,7.4,81.263331,7.388736,210,30015,multimedia
1371,289.37691684,1371825,2.34,10.348273,2.338404,311,30015,multimedia
1408,253.60599362,1408636,6.11,61.749109,6.101261,222,30015,multimedia
1399,277.227343529,1399876,6.88,70.694146,6.870307,249,30015,multimedia
1376,271.863936557,1376272,2.38,11.088761,2.376906,288,30015,multimedia
1418,253.998031488,1418288,5.64,33.694784,5.634145,173,30015,multimedia
1386,256.193286407,1386732,2.36,10.66418,2.361656,297,30015,multimedia
1493,87.2811548961,1493997,1.03,1.181474,1.026208,14,30015,multimedia
1491,93.9627585802,1491077,1.06,1.785096,1.060917,13,31369,multimedia
1495,73.4914961067,1495619,1.26,6.655429,1.256727,25,15550,multimedia
1495,73.5255057786,1495618,1.08,1.66059,1.074649,29,15550,multimedia
1500,0,1500000,1.02,0.587097,1.014335,7,520,multimedia
1497,57.8878225536,1497059,1.22,4.82433,1.216467,8,553,multimedia
1366,328.683738569,1366009,6.81,53.262513,6.799303,246,30015,multimedia
1418,238.939322842,1418605,4.67,62.440595,4.663947,194,30015,multimedia
1413,256.937735648,1413674,5.97,50.210885,5.968278,173,30015,multimedia
1492,84.8881617188,1492919,1.1,2.235319,1.093916,10,30015,multimedia
1494,100.294566154,1494281,1.09,2.417711,1.091144,11,30015,multimedia
1490,91.940197955,1490738,1.14,3.801498,1.140696,19,30015,multimedia
1494,83.4206209519,1494281,1.44,13.430459,1.44063,30,30015,multimedia
1490,98.7015704029,1490793,1.75,17.879204,1.750342,21,30015,multimedia
1491,91.4713069766,1491117,1.63,19.392055,1.626311,16,30015,multimedia
1494,133.082681067,1494090,1.36,10.692689,1.355,19,30015,multimedia
1495,73.4098086089,1495274,1.17,2.742526,1.165823,4,30015,multimedia
1495,73.8579718108,1495173,1.35,8.640052,1.353239,5,30015,multimedia
1494,83.1925477432,1494281,1.71,21.632654,1.711173,8,30015,multimedia
1412,242.925914632,1412713,5.99,33.607124,5.984702,207,30015,multimedia
1494,81.7924201867,1494128,1.14,4.291463,1.142688,10,30015,multimedia
1493,83.9523674473,1493997,1.63,17.384045,1.632028,22,30015,multimedia
1495,72.3325652801,1495457,4.22,69.884177,4.21735,4,30015,multimedia
1441,221.406865296,1441857,3.11,49.976484,3.107638,126,30015,multimedia
1492,89.7830719011,1492253,1.07,1.859651,1.065344,21,30015,multimedia
1385,271.563988776,1385981,1.68,9.226274,1.679329,244,30564,multimedia
1386,252.130918374,1386265,1.54,6.563954,1.543279,289,30224,multimedia
1340,346.724674634,1340417,14.21,54.203982,14.195789,303,30553,multimedia
1416,219.940901153,1416925,1.41,3.888611,1.407084,215,30868,multimedia
1378,290.78514405,1378965,1.5,4.986901,1.500727,257,30868,multimedia
1310,343.474889912,1310312,20.85,64.129036,20.826634,402,30104,multimedia
1385,246.679954597,1385643,6.24,28.300261,6.238239,276,30185,multimedia
1391,237.953777024,1391538,6.44,34.177877,6.431803,271,30261,multimedia
1389,249.495490941,1389152,7.59,39.536441,7.580401,267,30191,multimedia
1393,238.26665734,1393250,6.45,31.607998,6.446288,268,29834,multimedia
1367,302.220118457,1367537,5.38,28.100064,5.376338,292,30015,multimedia
1367,262.137368568,1367861,7.43,32.859041,7.426304,309,30015,multimedia
1404,240.054160555,1404929,5.52,25.305437,5.517661,219,30015,multimedia
1367,267.243334809,1367249,4.17,19.047989,4.16628,311,30016,multimedia
1402,268.333747412,1402577,5.46,27.953045,5.455989,249,30015,multimedia
1500,0,1500000,1.08,1.705196,1.080347,7,1238,multimedia
1500,0,1500000,1.07,1.3222,1.072345,18,1006,multimedia
1493,87.6584280032,1493533,1.12,1.872725,1.120476,17,129983,multimedia
1491,100.781942827,1491384,1.08,1.443475,1.077547,20,129983,multimedia
1494,84.4926032266,1494224,1.08,1.953515,1.076772,15,129983,multimedia
1489,114.162165361,1489995,1.09,1.326303,1.092562,18,129983,multimedia
1496,71.8957578721,1496105,1.32,5.695249,1.319611,18,30046,multimedia
1497,64.5058136915,1497112,1.06,1.196824,1.061148,20,30078,multimedia
1498,73.8037939404,1498505,1.04,1.52402,1.037414,19,1007,multimedia
1498,45.7602447546,1498552,9.79,263.282381,9.781477,7,973,multimedia
1490,108.355895087,1490699,2.02,18.616019,2.021396,32,32934,multimedia
1490,110.15897603,1490903,2.49,28.463946,2.484656,42,32923,multimedia
1493,85.4283325367,1493589,1.02,1.218743,1.022424,5,30015,multimedia
1495,71.6589143094,1495418,1.39,3.444197,1.387538,4,30015,multimedia
1495,73.0958275143,1495298,1.72,4.420269,1.717298,4,30015,multimedia
1496,56.7802782663,1496758,1.1,2.112313,1.100355,4,30015,multimedia
1495,71.6589143094,1495418,1.22,2.235784,1.214787,4,30015,multimedia
1495,74.2361098119,1495212,1.08,1.415336,1.074007,4,30015,multimedia
1495,71.6589143094,1495418,1.17,1.602487,1.170019,4,30015,multimedia
1493,87.7496438739,1493469,3.01,6.503391,3.007699,6,30015,multimedia
1495,74.2361098119,1495212,1.91,2.47945,1.904696,4,30015,multimedia
1495,72.4154679609,1495353,2.37,8.476035,2.369055,5,30015,multimedia
1495,73.1846978541,1495741,1.42,2.174551,1.421398,4,30015,multimedia
1498,39.2555728528,1498256,1.63,2.128293,1.629941,5,30016,multimedia
1481,148.04053499,1481654,21.68,100.475386,21.662332,254,32714,multimedia
1475,170.78934393,1475880,6.06,49.772151,6.057753,342,33575,multimedia
1487,119.979164858,1487867,26.02,87.560361,25.991124,332,34554,multimedia
1482,146.106125813,1482234,10.82,73.196113,10.808546,481,33136,multimedia
1475,173.346473861,1475764,5.74,23.896797,5.733882,271,33324,multimedia
1479,161.694155739,1479182,6.89,38.033633,6.888043,240,33502,multimedia
1480,154.502427165,1480519,11.12,72.662593,11.104246,525,32892,multimedia
1478,161.254457303,1478340,4.61,22.58708,4.605928,410,33156,multimedia
1478,166.024094637,1478051,4.8,20.676119,4.791315,482,33105,multimedia
1496,54.8361194834,1496883,1.17,1.84903,1.171683,4,30015,multimedia
1495,71.056315694,1495707,1.03,1.246175,1.033447,3,30015,multimedia
1494,83.402637848,1494321,1.09,1.331197,1.088043,4,30015,multimedia
